name,role_raw,n_mentions,n_docs
Mikuláš MINÁŘ,organizátor protestů předseda spolku,1,1
Jiří TERYNGEL,advokát soudkyně,1,1
Jiří WEIGL,kancléř prezidenta spoluzakladatel,1,1
Jiří SPRUŽINA,entomolog,1,1
Jiří SEDMÍK,doktorand,1,1
Jiří NĚMČÍK,velitel,1,1
Jiří NEJDL,divák,1,1
Jiří PETERKA,cestující,1,1
Jiří POVÝŠIL,paraolympionik,1,1
Jiří TUREK,radiologický technik,1,1
Jonathan BRENT,vysokoškolský pedagog odborník na komunismus,1,1
Michail KREINDLIN,představitel ruské pobočky organizace,1,1
John KERRY,zvláštní vyslanec pro boj proti,1,1
John ZIZIULAS,metropolita pravoslavné církve řecký teolog,1,1
Joonas FRITZE,ochránce přírody,1,1
John KERRY,americký zmocněnec pro boj s,1,1
John KASICH,republikánský kandidát na prezidenta,1,1
Michal RYBNÍČEK,dendrochronolog,1,1
John MCCAIN,republikánský prezidentský kandidát,1,1
John KERRY,zvláštní zmocněnec pro boj s,1,1
Josef STRAKA,organizátor festivalu,1,1
Joseph MILLS,fotbalista klubu,1,1
Judy FRYLANDOVÁ,chicagský magistrát,1,1
Josef LEPŠA,spoluautor projektu studio,1,1
Josef PATOČKA,účastník pařížské konference,1,1
Josef PÁNEK,spisovatel a vědec,1,1
John WOJNOWSKI,oběť sexuálního zneužívání,1,1
Michal POLANSKÝ,odtahová služba,1,1
John KERRY,zvláštní vyslanec prezidenta,1,1
Michal KŘEMEN,strážník městské policie,1,1
John EDEL,pilot,1,1
John CHRISTENSEN,autor zprávy,1,1
Johannes TORPE,designér,1,1
Joe PELLE,šerif,1,1
Jonathan EWING,podnikatel,1,1
Joel KELOI,pastevec uživatel aplikace,1,1
John GADDIE,kapitán hasičského odddělení prevence,1,1
Michal HODRAVA,hasič,1,1
Michal HLAVIČKA,velitel zásahu,1,1
Michal DRÁBEK,dopravní expert,1,1
Michal JAKUBEC,preparátor,1,1
Michal HÁJEK,botanik,1,1
Jones ES,un kódem a teplotě,1,1
Johan HOLLANDER,švédský mořský biolog,1,1
Zsolt SEMJÉN,designovaný maďarský vicepremiér pro menšiny,1,1
Zpráva OSN,upozorňuje že rozmanitost se snižuje,1,1
Zpráva OSN,počítá s katastrofickým scénářem že,1,1
Zpráva OSN,mluví o všech přírodních katastrofách,1,1
Zpráva OSN,milionu druhů hrozí vyhubení,1,1
Zpráva EK,o přerozdělování migrantů,1,1
Zpráva EEA,o klimatu,1,1
Konference OSN,o klimatických změnách se prodlouží,1,1
Alejandro NEYRA,peruánský ministr cestovního ruchu,1,1
Zemanova ČSSD,za podpory,1,1
Čang CHAJ PIN,pastevec z provincie,1,1
Úřad OSN,pro uprchlíky letošní favorité se,1,1
Úspěch CNN,ale nepřišel přes noc,1,1
Česká BIS,varuje opakovaně před zahraniční špionáží,1,1
Čang ČCHIEN,šéfka projektu pro kontrolování počasí,1,1
Škoda ENYAQ,má zvládnout dnes přes,1,1
Alena DOSTÁLOVÁ,hydrobioložka,1,1
Lukáš JANOTA,autor oceněné diplomové práce,1,1
Magali HUARACHIOVÁ,dobrovolnice,1,1
Luke PETERS,lovec humrů,1,1
Maatiusi MANNING,inuitský námořník,1,1
López OBRADOR,mexický prezident,1,1
Lídři ODS,lidovců a starostů nové předsedkyni,1,1
Lídři EU,o klimatu,1,1
Alena SEIBERTOVÁ,osoba,1,1
Léčba HIV,jsou komplikovanější záležitost protože léčil,1,1
Luděk KLUSÁČEK,trenér,1,1
Lukáš ULRYCH,učitel,1,1
Alex MOTUKO,ochránce přírody žirafí centrum v,1,1
Alex DESSARD,dobrovolník z,1,1
Alex ALLEY,britský jachtař zdroj,1,1
Alena ŽÁKOVSKÁ,oddělení fyziologie a imunologie živočichů,1,1
Alena STOLÁŘOVÁ,hydroložka,1,1
Lídrem KDU ČSL,na jižní,1,1
Al SHARPTON,reverend aktivista,1,1
Agniwzska POMASKÁ,opoziční politička,1,1
Agniezska POMASKÁ,opoziční politička,1,1
Agniezska PAMASKÁ,opoziční poslankyně,1,1
Agentura AFP,píše o bezprecedentní mobilizaci,1,1
Aktech OVM,s předsedkyní,1,1
Akta OVM,s ředitelem dopravní policie,1,1
Zástupci USA,budou jednat s tureckým prezidentem,1,1
Šéf ČSSD,se včera sešel s prezidentem,1,1
Šéf ČS,měl by mít lékaři možnost,1,1
Šéf OSN,na klimatickém summitu vyzval státy,1,1
Aires SILVA,muž zasažený požáry,1,1
Zástupci ČSSD ANO,a lidovců dokument podepsali,1,1
Aigerim TOLEUKANOVOVÁ,kazašská novinářka působící v,1,1
Aktuálně ČR,je velmi úspěšná v tom,1,1
Amir WEIZMAN,podmořský dokumentarista,1,1
Že KDU,ano ale je to deklaratorní,1,1
Zástupci KDU ČSL,si odpoledne taky chtějí vyslechnout,1,1
Zástupce EK,pro oblast klimatu v,1,1
Čang KCHAJ PO,napadený,1,1
Adriana GRUBNEROVÁ,návštěvnice restaurací,1,1
Adrian FERNANDEZ,organizace,1,1
Adhanom GHEBREYESUS,generální ředitel,1,1
Adelaide CHOKOEOVÁ,ošetřovatelka stromů v parcích,1,1
Alan SVOBODA,obchodní ředitel,1,1
Abiy AHMED,etiopský premiér,1,1
Abel MUSANA,ochránce národního parku ve,1,1
Abdul ABDI,neúspěšný kandidát konzervativců,1,1
Abdi ACHEGEI,nezisková organizace,1,1
Adam REZEK,režisér,1,1
Akt OVM,přijal generální ředitel,1,1
Alberto TESSERIN,správce baziliky sv,1,1
Alastair FORTHERGILL,producent,1,1
Abraham QUISPE,rybář,1,1
Ladislav AMBROZEK,místostarosta,1,1
Lada WAGNEROVÁ,turistka rodačka ze,1,1
Ladislav HOLEŠ,odbor životního prostředí,1,1
Mars MISSION,twitterový účet,1,1
Martin BARRY,architekt ředitel festivalu reSITe,1,1
Leonard KUNTZ,opravář,1,1
Mariupolu AZOS,město dál brání,1,1
Mami MIZURORIOVÁ,zvláštní zmocněnkyně generálního tajemníka,1,1
Lenka FIERLOVÁ,sestra oběti,1,1
Li HUEI LAN,sběračka čaje,1,1
Marie FIŽOVÁ,kronikářka,1,1
Mariana TELEKEŠOVÁ,organizátorka protestu,1,1
Lesů ČR,které tak jak v té,1,1
Lesy ČR,vydaly,1,1
Lesy ČR,vybírají těžební společnosti na kalamitní,1,1
Lesy ČR,obchodovaly se,1,1
Laďka SKOPOVÁ,divačka,1,1
Konference OSN,o globálním oteplování,1,1
Krista MIKKONENOVÁ,finská ministryně životního prostředí,1,1
Komisariát OSN,pro uprchlíky nebo,1,1
Koaliční ČSSD,ho nepodpořila projedná ho až,1,1
Koalici SPOLU,by podle průběžných informací mohlo,1,1
Ko BARRETTOVÁ,vícepředkyně,1,1
Klára STOLINSKÁ,spoluorganizátorka akce,1,1
Kryscina CIMANOUSKÁ,běloruská atletka,1,1
Klára KOŠINOVÁ,doktorandka,1,1
Martin KUKUČKA,režisér,1,1
Martin KOPECKÝ,spoluautor studie,1,1
Klaus IOHANNIS,rumunský prezident,1,1
Kitty FERGUSONOVÁ,autorka životopisu,1,1
Klára HLAVÁČKOVÁ,návštěvnice,1,1
Kmotr VR,protože je to jeden z,1,1
Ladislav ŠIGUT,doktorand,1,1
Klára PUČEROVÁ,kurátorka výstavy,1,1
Marian JUREČKA,opoziční zastupitel,1,1
Marcela ONDŘEJOVÁ,advokátka,1,1
Marcela KALUŽÍKOVÁ,obec,1,1
Marcel KOLAJA,zvolený místopředseda,1,1
Marco VIANELLO,restaurátor,1,1
Lucino NEZZI,brazilský farmář,1,1
Luděk KŘEPELKA,kombajnista,1,1
Lesy ČR,ale pro všechny vlastníky v,1,1
Manuel SANTOS,kolumbijský prezident,1,1
Lucie SMOLKOVÁ,spoluorganizátorka,1,1
Lucie SMOLKOVÁ,pořadatelka,1,1
Lucie SMOLKOVÁ,hnutí,1,1
Mairi GOUGEONOVÁ,skotská ministrině životního prostředí,1,1
Management ČEZ,se k tomu může nějak,1,1
Lucie CWIKOVÁ,lékařka,1,1
Maira KELLERSOVÁ,demonstrují studentka,1,1
Manuela SCHWESIGOVÁ,ministerská předsedkyně,1,1
Leoš KUBELKA,sportovní rybář,1,1
Levice NATO,považujeme za úplně přežité a,1,1
Marek LOULA,vrchní ředitel,1,1
Marel VELEBNÝ,divák,1,1
Maria CALISAYOVÁ,dobrovolnice,1,1
Livia KLAUSOVÁ,manželka prezidenta,1,1
Lisa MURKOWSKIOVÁ,republikánská senátorka,1,1
Lisa MUMFORDOVÁ,účastnice protestu,1,1
Marco LAMBERTINI,generální ředitel,1,1
Light BENJAMIN,zpěvačka,1,1
Lidové REPUBLIKY,prohlášení,1,1
Libor STRAKOŠ,výrobní náměstek,1,1
Lisa MURKOEWSKLOVÁ,republikánská senátorka,1,1
Luc PIGUET,generální ředitel společnosti,1,1
Luc MÉLENCHON,hnutí,1,1
Marek KVETAN,výtvarník,1,1
Marco TEDESCO,observatoř,1,1
Lindsey GRAHAM,republikánský předseda právního výboru,1,1
Peníze EU,pro hornické regiony,1,1
Heslo ODS,o zemi která vítězí je,1,1
Hnutí ANO,obsadilo hejtmanský post a spolu,1,1
Hnutí ANO,nechce zvedat daně ad,1,1
Hnutí ANO,navrhlo na posty místopředsedů,1,1
Hnutí ANO,má pak sedm mandátů no,1,1
Hnutí ANO,bude za úspěch považovat když,1,1
Jesse KATAJAMA,japonský turista,1,1
Pavel ŠOLTYS,náměsek hejtmana,1,1
Pavla SVRČINOVÁ,hlavní hygienička,1,1
Hnutím ANO,a vůbec jsme nekomunikovali s,1,1
Hnutí STAN,budou ve vládě zastupovat ministři,1,1
Hnutí SPD,v kampani sází na své,1,1
Hřiba PPP,projekty tedy formou spolupráce se,1,1
Hnutí DUHA,že by se pouze kácelo,1,1
Hnutí DUHA,ve spolupráci s městem,1,1
India BROWNOVÁ,fanynka britské královské rodiny,1,1
Harald WEBER,energetický expert,1,1
Hedvika KLÍMOVÁ,protestující,1,1
Hector CORDOVA,důlní inženýr bývalý ředitel důlní,1,1
Hnutí DUHA,dobrý večer,1,1
Hnutí DUHA,ale my se snažíme aby,1,1
Hnutí DUHA,a s nimi správce lesů,1,1
Hnutí ANO,také navrhuje zákon o lobbingu,1,1
Peem PRASERTSUNTARASAIOVÁ,účastnice protestů,1,1
Hnutí ANO,pane,1,1
Hnutí SPD,je zásadně proti zvyšování daní,1,1
Hnutí SPD,dále trvá na poměrném zastoupení,1,1
Peter MCKENNA,šéfkuchař majitel,1,1
Peteri TAALAS,generální tajemník,1,1
Hnutí DUHA,i osobní váš názor je,1,1
Hnutí ANO,ale výtky odmítá,1,1
Pekarová ADAMOVÁ,predsedníčka českej,1,1
Hnutí ANO,se nově rozhodlo že také,1,1
Jack KENNEDY SCHLOSSBERG,vnuk,1,1
Pavel NAVRÁTIL,místostarosta,1,1
Jakub PŠENIČKA,provozní hotelu,1,1
Jakub PFEIFER,veterinární lékař,1,1
Jan BAJKO,agronom,1,1
Pavel FARSKÝ,místostarosta,1,1
Pavel II,tehdy jeho popularita byla přes,1,1
Hnutí DUHA,to znamená že si představovali,1,1
Paula PEDREROSOVÁ,agronomka,1,1
Jan BARTOŠKA,autor aplikace,1,1
Paul NICKLEN,kanadský fotograf a biolog,1,1
Pavel BOJANOVSKÝ,včelař,1,1
Paulo ARTAXO,hlavní autor zprávy,1,1
Paulo ARTAKSO,avtor poročila,1,1
Patricia ESPINOSOVÁ,generální tajemnice,1,1
Pat LACEYOVÁ,prapraneteř kapitána,1,1
Jakub OTČENÁŠEK,dramaturg,1,1
Hnutí DUHA,tak to by samozřejmě dalo,1,1
Hnutí DUHA,na tisíc dvě stě lidí,1,1
Hnutí DUHA,které na to upozorňuje opakovaně,1,1
Holding EPH,podnikatele,1,1
Pavel STOULIL,železniční expert fakulta dopravní,1,1
Pavel ZÁMYSLICKÝ,hlavní vyjednavač,1,1
Ishmael OTAGA,kávový farmář,1,1
Jacques FLAMAND,veterinář divokých zvířat,1,1
Iva SYNÁKOVÁ,divačka,1,1
Irodi KADAGIŠVILI,velitel,1,1
Jak SPD,tak i,1,1
Jair BOSLONARO,zvolený prezident,1,1
Jair BONSONARO,brazilský prezident,1,1
Jair BOLSONARO,brazilský prezident zdroj,1,1
Ivana ŠIRCOVÁ,návštěvnice,1,1
Ivo OTÁHAL,zoolog,1,1
Iryna VEREŠČUKOVÁ,ukrajinská vicepremiérka,1,1
Podle OSN,je to důsledek klimatických změn,1,1
Petr ŠTĚPÁNEK,architekt člen řídícího výboru,1,1
František EXNER,generální ředitel,1,1
František BOSTL,makléř,1,1
František SKÁLA,výtvarník účastník protestu,1,1
Francisco ABEL,muž zasažený požáry,1,1
František BEZDĚK,kněz duchovní garant školy,1,1
Petr BÍLEK,výrobní ředitel,1,1
Petr VONDRÁK,veterinář z,1,1
Firma NWR,se proto teď chystá zavřít,1,1
Filippo GRANDI,vysoký komisař,1,1
Filipe KSČM,dlouhodobě a vy jste to,1,1
Filipa KSČM,oceňuje že se je kabinetu,1,1
Freitas MOHALLEM,organizátor,1,1
Fredrik SEJERSTED,norský vrchní státní zástupce,1,1
Frederik ŠPANER,provozní kavárna,1,1
Petr VYHLÍDAL,divák,1,1
Projevme EU,víc úcty a nekazme stále,1,1
Federica MOGHERINIOVÁ,šéfka unijní diplomacie,1,1
Fiet HAYUOVÁ,veterinářka,1,1
Fernando TERMIS,španělský turista,1,1
Petro POROŠENKO,ukrajinský prezident,1,1
Petra WEINHOLDOVÁ,učitelka,1,1
Petra ROUBÍČKOVÁ,tisková mluvčí ministerstva životního prostředí,1,1
Podle OSN,je třeba výrazné omezení emisí,1,1
Petra HÁJKOVÁ,paleobotanička,1,1
Petr ŽEBRÁK,výrobní ředitel,1,1
Petra RAJSNEROVÁ,experimentální stanice,1,1
Podle OSN,vzroste počet požárů,1,1
Podle OSN,stoupla průměrná teplota od roku,1,1
Podle OSN,se klima vymklo kontrole a,1,1
Podle OSN,se jejich počet za posledních,1,1
Podle OSN,kvůli životnímu prostředí každoročně přijdou,1,1
Federika MOGHERINIOVÁ,šéfka evropské diplomacie oprava,1,1
Hana DVOŘÁKOVÁ,žena šijící vaky pro přeživší,1,1
Hartmut DUDDE,velitel zásahu na summitu,1,1
Petr HAMPL,obchodní ředitel,1,1
Hamíd KARZÁÍ,bývalý afghánský prezident,1,1
Hamáčka ČSSD,trvá na dodržování ústavy celou,1,1
Hagen KOHL,podporovatel,1,1
Gyile NEWMANOVÁ,svědkyně atentátu na,1,1
Gantsetseg CHIMEDTSERENOVÁ,konzultantka,1,1
Guy VERHOFSTADT,belgický europoslanec,1,1
Greens EFA,jednoho z těch dvou kandidátů,1,1
Greenpeace DUHA,zástupci krajů a tak dále,1,1
Grospiči KSČM,má nějaký konkrétní plán v,1,1
Hilda ANDERSONOVÁ PYRZOVÁ,sestra zmizelé dívky,1,1
Petr DOUBRAVSKÝ,spoluorganizátor protestu,1,1
Petr DVOŘÁK,generální ředitel,1,1
Hasan MINHAJ,komik,1,1
Guy VERHOFSTADT,belgický europoslanec a šéf liberálů,1,1
František TICHÝ,spisovatel,1,1
František SOUKUP,kapelník,1,1
Frauke PETRYOVÁ,šéfka strany,1,1
Frauke PATRYOVÁ,šéfka strany,1,1
František ZADINA,brig,1,1
Petr MARTÍNEK,investiční ředitel,1,1
Giovani TAPANG,účastník demonstrace v,1,1
Hal HARVEY,energetický analytik,1,1
Greens EFA,to jsou ty evropské vlastně,1,1
Generation EU,úspěšný musíme být jisti že,1,1
Generation EU,je spojený s těmito agendami,1,1
Gary DINHAM,pracovník národních parků,1,1
Garnett HALL,veterinář,1,1
Gabriel DIAZ,protestující,1,1
Furt AP,svou,1,1
Hamdija KANDIČ,rybář,1,1
Giles EPONE,organizátor tábora tzv,1,1
Na ISS,má finance,1,1
Na EU,připadá jak už tady zaznělo,1,1
Na CNN,teď uveřejnili jeden z průzkumů,1,1
Má OKD,vůbec šanci se z dluhu,1,1
Mulyani INDRAWATOVÁ,indonéská ministryně financí,1,1
Muhammad NAŠÍD,odstupující prezident,1,1
Muhammad NAŠÍD,bývalý maledivský prezident,1,1
Jan KAJGR,chovatel,1,1
Motonobu KIMURA,jihokorejský obchodník s rybami,1,1
Mostafa SILÍTOVÁ,egyptské ministerstvo pro vodní zdroje,1,1
Monika BEJČKOVÁ,lesní,1,1
Molu ČOI,se sahající to už,1,1
Mohammad TAREF,pěstitel banánů,1,1
Moskevské CSKA,nakonec přehrálo,1,1
Moses AKORLI,ghanský rybář,1,1
Jason LYALL,univerzita v,1,1
Muchar ABLJAZOV,bývalý kazašský ministr v exilu,1,1
Negativním PCR,testem se musejí všichni prokázat,1,1
Nedostatky NKÚ,zjistil i u příjemců,1,1
Naďa PROKOPOVÁ,poškozená řidička z,1,1
Nick SHAPIRO,bývalý spolupracovník,1,1
Nathan SCHULHOFF,účastník protestu v,1,1
Nejméně CD,i já antuku když už,1,1
Neil MILLS,návštěvník,1,1
Na SZDČ,se mají teď snášet požadavky,1,1
Naopak ODS,a komunisti chtěli podmínky účasti,1,1
Nancy REAGANOVÁ,manželka bývalého amerického prezidenta,1,1
Navíc NKÚ,podle názoru našich expertů na,1,1
Jaroslav MIKOLÁŠ,jedatel,1,1
Jaroslav SOVEK,hospodář rybářského spolku,1,1
Jaroslav PEKÁREK,observatoř,1,1
Jaroslav ŠLECHTA,návštěvník,1,1
Na ÚP,způsobují civilní oběti protože ten,1,1
Neil BURDEN,příznivce brexitu,1,1
Jeremy CORBYN,vůdce labouristů britský parlament,1,1
Jeremy CORBYN,opoziční lídr labouristů,1,1
Jeff LOPEZ,postižený hurikánem,1,1
Jenže ŘSD,které tady zastupuje stát tenkrát,1,1
Jens STOLTENBERG,generální sekretář,1,1
Jiří GAVOR,energetický expert analytik,1,1
Jiří GAVOR,energetický analytik jednatel,1,1
Jel ODS,sahá,1,1
Milton PEREZ,inženýr,1,1
Miroslav BUCHTA,rybář,1,1
Jill LEWISOVÁ,demonstrantka,1,1
Jill COOKOVÁ,kurátorka,1,1
Jitka BLÁHOVÁ,delegátka,1,1
Jirka MALÍK,občanské sdružení,1,1
Miloš KOVÁŘ,lesník firmy,1,1
Jevgenij BOGATYRJOV,hasič,1,1
Mimochodem USA,jsou druhým největším producentem s,1,1
Jekatěrina JAKOVLEVOVÁ,pořadatelka akce,1,1
Jeho PIN,spis dřív,1,1
Jeho CNN,je ale dnes jedním z,1,1
Mohamed HAMET,generál velitel súdánské pozemní divize,1,1
Mnislav ZELENÝ,etnolog spisovatel,1,1
Mmadi REUBEN,vrchní veterinář botswanských národních parků,1,1
Jeans STOLTENBERG,generální tajemník,1,1
Jen FIA,je no tak ho,1,1
Miroslava PLŠKOVÁ,geologická pracovnice,1,1
Mitch MCCONNELL,vůdce republikánské menšiny v,1,1
Mitch MCCONNELL,republikánský senátor zdroj,1,1
Mirto KIRUSIOVÁ,nezaměstnaná,1,1
Jasmin DUREGGEROVÁ,ochránkyně přírody,1,1
Jaroslava REZLEROVÁ,generální ředitelka,1,1
Miroslav SKÁCEL,pracovník,1,1
Miroslav PÁLKA,dobrovolný hasič,1,1
Jay ZIDMAN,dobrovolník v kampani,1,1
Organizace OSN,vyzvala k mezinárodní pomoci,1,1
Ondřej ŠIROKÝ,kino,1,1
Ondřej ZDERADIČKA,delegát českých cestovních kanceláří,1,1
Osvaldo STELA,nezisková organizace,1,1
Jan KRAJHANZL,autor výzkumu katedra enviromentálních studií,1,1
Ondřej MONDEK,soused majitel pozemků v okolí,1,1
Ondřej VANK,záchranář,1,1
Jaroslav KOLAŘÍK,arborista,1,1
Jan WOLF,odborný asistent,1,1
Jan ŠAFÁŘ,výzkumný pracovník,1,1
On ESM,tedy evropský servisní,1,1
Ondřej KONEČNÝ,vinař sklepmistr,1,1
Olivia REDINGOVÁ,turistka,1,1
Oliver STEEDS,výzkumný institut,1,1
Jan ROYT,prorektor,1,1
Jan SEHNAL,hlavní inženýr projektu,1,1
Jan VLAŠIC,místostarosta,1,1
Jan KIMLA,obchodní ředitel,1,1
Pascal CANFIN,iniciátor rezoluce europoslanec,1,1
Paris STEFANOUDIS,výzkumný institut,1,1
Papež FRANTIŠEK,nejvyšší představitel katolické církve,1,1
Patrick CAREY,tamní obyvatel,1,1
Paolo VIELMO,inženýr,1,1
Panaiotis SILIAIDIS,postižený požáry,1,1
Osamu OKAMURA,architekt a kurátor,1,1
Pan HAVLAS,manžel,1,1
Jan NOVOTNÝ,prodejce stavebního řeziva,1,1
Jan POLÁŠEK,protestující,1,1
Jan ROVENSKÝ,organizátor pochodu,1,1
Ostravak ANO,předložilo dodatečné požadavky týkající se,1,1
Osamu OKAMURA,architekt a urbanista,1,1
Jan KYSELA,ústavní právník,1,1
Ondřej SKULINA,agronom,1,1
Jan HODOVSKÝ,generální ředitel,1,1
Nové OZE,se tu nestaví už výrazně,1,1
Nová ODS,ani náhodou,1,1
Nikolaj LEVKOVSKIJ,psovod,1,1
Nicolás MADURO,venezuelský prezident,1,1
Nora MORALESESOVÁ,protestující,1,1
Noor SHUHADAHOVÁ,vládní zaměstnankyně,1,1
Jaromír KUBŮ,kasteálán,1,1
Jana JELÍNKOVÁ,zmrzlinářka,1,1
Nicole HUNTEROVÁ,záchranná a rehabilitační bioložka,1,1
Nicola STURGEONOVÁ,vůdkyně,1,1
Nicola STURGEONOVÁ,skotská první ministryně,1,1
Nicola STURGEONOVÁ,skotská premiérka a předsedkyně,1,1
Jana TROJANOVÁ,organizátorka,1,1
Jana ČIKINOVÁ,rozhodčí,1,1
Jari SALMINER,univerzitní profesor,1,1
Janko CIGANJJIK,muž zasažený požáry,1,1
Nicole STURGEONOVÁ,skotská premiérka,1,1
Jana HOŘEJŠÍ,vrchní sestra,1,1
Olga MENZELOVÁ,producentka výstavy,1,1
Jana MACKOVÁ,půdní bioložka,1,1
Jana KALOUSOVÁ,čtenářka,1,1
Německá SPD,má nové vedení,1,1
Názor EU,znáte,1,1
Oldřich ČÍŽEK,spolumajitel jídelny,1,1
Olaf SCHOLZ,německý vicekancléř a ministr financí,1,1
Nyoman SURYADIPUTRA,společnost na ochranu mokřadů,1,1
Odstoupení USA,od pařížské dohody o boji,1,1
Odstoupení USA,od klimatické dohody,1,1
Odpuštění DPH,by nejvíce pomohlo velkým odběratelům,1,1
Ochrany PŘÍRODY,oficiální zpráva,1,1
Nissan LEAF,začínají zhruba na dvojnásobku,1,1
Nikos LOUTOS,protestující,1,1
Návrat USA,k pařížské klimatické dohodě,1,1
Námořní INSTITUT,prohlášení,1,1
Jan ŠVEJDAR,policejní prezident,1,1
