name,role_raw,type_llm
Jair BOSLONARO,zvolený prezident,M6
Jan KAJGR,chovatel,M2
Námořní INSTITUT,prohlášení,SKIP
Návrat USA,k pařížské klimatické dohodě,SKIP
Nissan LEAF,začínají zhruba na dvojnásobku,SKIP
Ochrany PŘÍRODY,oficiální zpráva,SKIP
Odpuštění DPH,by nejvíce pomohlo velkým odběratelům,SKIP
Odstoupení USA,od klimatické dohody,SKIP
Odstoupení USA,od pařížské dohody o boji,SKIP
Jan ŠVEJDAR,policejní prezident,M6
Olaf SCHOLZ,německý vicekancléř a ministr financí,M6
Oldřich ČÍŽEK,spolumajitel jídelny,M5
Názor EU,znáte,SKIP
Německá SPD,má nové vedení,SKIP
Osamu OKAMURA,architekt a kurátor,M5
Jana MACKOVÁ,půdní bioložka,M3
Jana HOŘEJŠÍ,vrchní sestra,M2
Jana JELÍNKOVÁ,zmrzlinářka,M2
Jan SEHNAL,hlavní inženýr projektu,M5
Jan ROYT,prorektor,M5
Oliver STEEDS,výzkumný institut,SKIP
On ESM,tedy evropský servisní,SKIP
Jan WOLF,odborný asistent,M3
Ondřej MONDEK,soused majitel pozemků v okolí,M2
Jan KRAJHANZL,autor výzkumu katedra enviromentálních studií,M3
Osvaldo STELA,nezisková organizace,SKIP
Ondřej ŠIROKÝ,kino,SKIP
Organizace OSN,vyzvala k mezinárodní pomoci,SKIP
Jana KALOUSOVÁ,čtenářka,M2
